State		Name		Frequency 		CumlFreq		Rank		City
US-TX		BERRY		0.056		23.477		168		Austin
US-TX		MATTHEWS		0.056		23.533		169		Austin
US-TX		ARNOLD		0.056		23.589		170		Austin
US-TX		WAGNER		0.055		23.645		171		Austin
US-TX		WILLIS		0.055		23.7		172		Dallas
US-TX		RAY		0.055		23.755		173		Dallas
US-TX		WATKINS		0.055		23.811		174		Houston
US-TX		OLSON		0.055		23.866		175		Dallas
US-TX		CARROLL		0.055		23.921		176		Austin
US-TX		DUNCAN		0.055		23.976		177		Houston
US-TX		SNYDER		0.055		24.031		178		Dallas
US-TX		HART		0.054		24.086		179		Houston
US-TX		CUNNINGHAM		0.054		24.14		180		Houston
US-TX		BRADLEY		0.054		24.194		181		Dallas
US-TX		LANE		0.054		24.247		182		Houston
US-TX		ANDREWS		0.054		24.301		183		Austin
US-TX		RUIZ		0.054		24.355		184		Austin
US-TX		HARPER		0.054		24.408		185		Houston
US-TX		FOX		0.053		24.462		186		Austin
US-TX		RILEY		0.053		24.515		187		Austin
US-TX		ARMSTRONG		0.053		24.568		188		Dallas
US-TX		CARPENTER		0.053		24.621		189		Austin
US-TX		WEAVER		0.053		24.673		190		Houston
US-TX		GREENE		0.053		24.726		191		Houston
US-TX		LAWRENCE		0.052		24.779		192		Houston
US-TX		ELLIOTT		0.052		24.831		193		Houston
US-TX		CHAVEZ		0.052		24.883		194		Austin
US-TX		SIMS		0.052		24.936		195		Houston
US-TX		AUSTIN		0.052		24.988		196		Houston
US-TX		PETERS		0.052		25.04		197		Austin
US-TX		KELLEY		0.052		25.092		198		Houston
US-TX		FRANKLIN		0.051		25.143		199		Houston
US-TX		LAWSON		0.051		25.195		200		Dallas
US-TX		FIELDS		0.051		25.246		201		Dallas
US-TX		GUTIERREZ		0.051		25.297		202		Dallas
US-TX		RYAN		0.051		25.348		203		Austin
US-TX		SCHMIDT		0.051		25.4		204		Houston
US-TX		CARR		0.051		25.451		205		Austin
US-TX		VASQUEZ		0.051		25.502		206		Houston
US-TX		CASTILLO		0.051		25.552		207		Austin
US-TX		WHEELER		0.051		25.603		208		Houston
US-TX		CHAPMAN		0.05		25.653		209		Dallas
US-TX		OLIVER		0.05		25.703		210		Dallas
US-TX		MONTGOMERY		0.049		25.753		211		Houston
US-TX		RICHARDS		0.049		25.802		212		Houston
US-TX		WILLIAMSON		0.049		25.851		213		Houston
US-TX		JOHNSTON		0.049		25.9		214		Dallas
US-TX		BANKS		0.048		25.948		215		Houston
US-TX		MEYER		0.048		25.996		216		Austin
US-TX		BISHOP		0.048		26.045		217		Dallas
US-TX		MCCOY		0.048		26.093		218		Houston
US-TX		HOWELL		0.048		26.14		219		Houston
US-TX		ALVAREZ		0.048		26.188		220		Austin
US-TX		MORRISON		0.048		26.235		221		Dallas
US-TX		HANSEN		0.047		26.283		222		Austin
US-TX		FERNANDEZ		0.047		26.33		223		Austin
US-TX		GARZA		0.047		26.377		224		Austin
US-TX		HARVEY		0.047		26.424		225		Houston
US-TX		LITTLE		0.046		26.47		226		Houston
US-TX		BURTON		0.046		26.516		227		Dallas
US-TX		STANLEY		0.046		26.562		228		Austin
US-TX		NGUYEN		0.046		26.608		229		Austin
US-TX		GEORGE		0.046		26.653		230		Austin
US-TX		JACOBS		0.046		26.699		231		Dallas
US-TX		REID		0.046		26.745		232		Houston
US-TX		KIM		0.045		26.79		233		Austin
US-TX		FULLER		0.045		26.835		234		Dallas
US-TX		LYNCH		0.045		26.88		235		Houston
US-TX		DEAN		0.045		26.925		236		Houston
US-TX		GILBERT		0.045		26.97		237		Austin
US-TX		GARRETT		0.045		27.015		238		Dallas
US-TX		ROMERO		0.045		27.059		239		Houston
US-TX		WELCH		0.044		27.104		240		Austin
US-TX		LARSON		0.044		27.148		241		Dallas
US-TX		FRAZIER		0.044		27.192		242		Houston
US-TX		BURKE		0.044		27.235		243		Dallas
US-TX		HANSON		0.043		27.279		244		Houston
US-TX		DAY		0.043		27.322		245		Austin
US-TX		MENDOZA		0.043		27.365		246		Austin
US-TX		MORENO		0.043		27.407		247		Austin
US-TX		BOWMAN		0.043		27.45		248		Dallas
US-TX		MEDINA		0.042		27.492		249		Dallas
US-TX		FOWLER		0.042		27.535		250		Houston
US-TX		BREWER		0.042		27.577		251		Austin
US-TX		HOFFMAN		0.042		27.619		252		Austin
US-TX		CARLSON		0.042		27.661		253		Houston
US-TX		SILVA		0.042		27.703		254		Austin
US-TX		PEARSON		0.042		27.744		255		Houston
US-TX		HOLLAND		0.042		27.786		256		Houston
US-TX		DOUGLAS		0.041		27.827		257		Dallas
US-TX		FLEMING		0.041		27.868		258		Dallas
US-TX		JENSEN		0.041		27.909		259		Austin
US-TX		VARGAS		0.041		27.95		260		Dallas
US-TX		BYRD		0.041		27.991		261		Dallas
US-TX		DAVIDSON		0.041		28.032		262		Dallas
US-TX		HOPKINS		0.041		28.072		263		Houston
US-TX		MAY		0.04		28.113		264		Dallas
US-TX		TERRY		0.04		28.153		265		Dallas
US-TX		HERRERA		0.04		28.193		266		Austin
US-TX		WADE		0.04		28.233		267		Austin
US-TX		SOTO		0.04		28.273		268		Dallas
US-TX		WALTERS		0.04		28.313		269		Dallas
US-TX		CURTIS		0.04		28.352		270		Dallas
US-TX		NEAL		0.039		28.392		271		Dallas
US-TX		CALDWELL		0.039		28.431		272		Austin
US-TX		LOWE		0.039		28.471		273		Austin
US-TX		JENNINGS		0.039		28.51		274		Dallas
US-TX		BARNETT		0.039		28.549		275		Austin
US-TX		GRAVES		0.039		28.588		276		Houston
US-TX		JIMENEZ		0.039		28.628		277		Austin
US-TX		HORTON		0.039		28.667		278		Houston
US-TX		SHELTON		0.039		28.706		279		Austin
US-TX		BARRETT		0.039		28.745		280		Austin
US-TX		OBRIEN		0.039		28.783		281		Houston
US-TX		CASTRO		0.039		28.822		282		Dallas
US-TX		SUTTON		0.038		28.86		283		Dallas
US-TX		GREGORY		0.038		28.899		284		Houston
US-TX		MCKINNEY		0.038		28.937		285		Houston
US-TX		LUCAS		0.038		28.975		286		Dallas
US-TX		MILES		0.038		29.013		287		Dallas
US-TX		CRAIG		0.038		29.051		288		Dallas
US-TX		RODRIQUEZ		0.037		29.088		289		Austin
US-TX		CHAMBERS		0.037		29.126		290		Austin
US-TX		HOLT		0.037		29.163		291		Austin
US-TX		LAMBERT		0.037		29.2		292		Dallas
US-TX		FLETCHER		0.037		29.237		293		Austin
US-TX		WATTS		0.037		29.274		294		Austin
US-TX		BATES		0.037		29.311		295		Dallas
US-TX		HALE		0.037		29.348		296		Austin
US-TX		RHODES		0.037		29.385		297		Austin
US-TX		PENA		0.037		29.421		298		Austin
US-TX		BECK		0.037		29.458		299		Houston
US-TX		NEWMAN		0.036		29.494		300		Austin
US-TX		HAYNES		0.036		29.531		301		Houston
US-TX		MCDANIEL		0.036		29.567		302		Dallas
US-TX		MENDEZ		0.036		29.603		303		Dallas
US-TX		BUSH		0.036		29.639		304		Houston
US-TX		VAUGHN		0.036		29.675		305		Austin
US-TX		PARKS		0.035		29.711		306		Dallas
US-TX		DAWSON		0.035		29.746		307		Austin
US-TX		SANTIAGO		0.035		29.781		308		Dallas
US-TX		NORRIS		0.035		29.817		309		Dallas
US-TX		HARDY		0.035		29.852		310		Austin
US-TX		LOVE		0.035		29.887		311		Austin
US-TX		STEELE		0.035		29.921		312		Houston
US-TX		CURRY		0.035		29.956		313		Houston
US-TX		POWERS		0.035		29.991		314		Dallas
US-TX		SCHULTZ		0.035		30.025		315		Dallas
US-TX		BARKER		0.035		30.06		316		Houston
US-TX		GUZMAN		0.034		30.094		317		Dallas
US-TX		PAGE		0.034		30.129		318		Houston
US-TX		MUNOZ		0.034		30.163		319		Austin
US-TX		BALL		0.034		30.197		320		Houston
US-TX		KELLER		0.034		30.231		321		Austin
US-TX		CHANDLER		0.034		30.265		322		Dallas
US-TX		WEBER		0.034		30.299		323		Austin
US-TX		LEONARD		0.034		30.333		324		Austin
US-TX		WALSH		0.033		30.366		325		Dallas
US-TX		LYONS		0.033		30.4		326		Houston
US-TX		RAMSEY		0.033		30.433		327		Austin
US-TX		WOLFE		0.033		30.466		328		Houston
US-TX		SCHNEIDER		0.033		30.499		329		Houston
US-TX		MULLINS		0.033		30.532		330		Houston
US-TX		BENSON		0.033		30.565		331		Austin
US-TX		SHARP		0.033		30.598		332		Austin
US-TX		BOWEN		0.033		30.631		333		Dallas
US-TX		DANIEL		0.033		30.663		334		Austin
US-TX		BARBER		0.032		30.696		335		Dallas
US-TX		CUMMINGS		0.032		30.728		336		Houston
US-TX		HINES		0.032		30.76		337		Houston
US-TX		BALDWIN		0.032		30.793		338		Houston
US-TX		GRIFFITH		0.032		30.824		339		Houston
US-TX		VALDEZ		0.032		30.856		340		Dallas
US-TX		HUBBARD		0.032		30.888		341		Houston
US-TX		SALAZAR		0.032		30.92		342		Houston
US-TX		REEVES		0.032		30.951		343		Dallas
US-TX		WARNER		0.031		30.983		344		Austin
US-TX		STEVENSON		0.031		31.014		345		Houston
US-TX		BURGESS		0.031		31.045		346		Dallas
US-TX		SANTOS		0.031		31.076		347		Houston
US-TX		TATE		0.031		31.107		348		Austin
US-TX		CROSS		0.031		31.138		349		Austin
US-TX		GARNER		0.031		31.169		350		Austin
US-TX		MANN		0.031		31.2		351		Austin
US-TX		MACK		0.031		31.231		352		Houston
US-TX		MOSS		0.031		31.262		353		Dallas
US-TX		THORNTON		0.031		31.292		354		Austin
US-TX		DENNIS		0.031		31.323		355		Austin
US-TX		MCGEE		0.031		31.354		356		Houston
US-TX		FARMER		0.03		31.384		357		Dallas
US-TX		DELGADO		0.03		31.415		358		Dallas
US-TX		AGUILAR		0.03		31.445		359		Austin
US-TX		VEGA		0.03		31.475		360		Houston
US-TX		GLOVER		0.03		31.505		361		Austin
US-TX		MANNING		0.03		31.535		362		Dallas
US-TX		COHEN		0.03		31.566		363		Austin
US-TX		HARMON		0.03		31.596		364		Dallas
US-TX		RODGERS		0.03		31.626		365		Austin
US-TX		ROBBINS		0.03		31.656		366		Houston
US-TX		NEWTON		0.03		31.686		367		Houston
US-TX		TODD		0.03		31.716		368		Dallas
US-TX		BLAIR		0.03		31.746		369		Austin
US-TX		HIGGINS		0.03		31.776		370		Austin
US-TX		INGRAM		0.03		31.806		371		Austin
US-TX		REESE		0.03		31.836		372		Austin
US-TX		CANNON		0.03		31.865		373		Houston
US-TX		STRICKLAND		0.03		31.895		374		Austin
US-TX		TOWNSEND		0.03		31.925		375		Dallas
US-TX		POTTER		0.03		31.955		376		Austin
US-TX		GOODWIN		0.03		31.984		377		Austin
US-TX		WALTON		0.03		32.014		378		Austin
US-TX		ROWE		0.029		32.043		379		Dallas
US-TX		HAMPTON		0.029		32.073		380		Houston
US-TX		ORTEGA		0.029		32.102		381		Austin
US-TX		PATTON		0.029		32.131		382		Austin
US-TX		SWANSON		0.029		32.161		383		Austin
US-TX		JOSEPH		0.029		32.19		384		Houston
US-TX		FRANCIS		0.029		32.219		385		Houston
US-TX		GOODMAN		0.029		32.248		386		Austin
US-TX		MALDONADO		0.029		32.277		387		Austin
US-TX		YATES		0.029		32.305		388		Austin
US-TX		BECKER		0.029		32.334		389		Dallas
US-TX		ERICKSON		0.029		32.363		390		Dallas
US-TX		HODGES		0.029		32.392		391		Dallas
US-TX		RIOS		0.029		32.421		392		Houston
US-TX		CONNER		0.029		32.449		393		Dallas
US-TX		ADKINS		0.029		32.478		394		Dallas
US-TX		WEBSTER		0.028		32.506		395		Houston
US-TX		NORMAN		0.028		32.535		396		Austin
US-TX		MALONE		0.028		32.563		397		Dallas
US-TX		HAMMOND		0.028		32.591		398		Dallas
US-TX		FLOWERS		0.028		32.62		399		Dallas
US-TX		COBB		0.028		32.648		400		Houston
US-TX		MOODY		0.028		32.676		401		Dallas
US-TX		QUINN		0.028		32.704		402		Austin
US-TX		BLAKE		0.028		32.732		403		Dallas
US-TX		MAXWELL		0.028		32.759		404		Austin
US-TX		POPE		0.028		32.787		405		Dallas
US-TX		FLOYD		0.027		32.814		406		Austin
US-TX		OSBORNE		0.027		32.842		407		Houston
US-TX		PAUL		0.027		32.869		408		Houston
US-TX		MCCARTHY		0.027		32.896		409		Dallas
US-TX		GUERRERO		0.027		32.924		410		Austin
US-TX		LINDSEY		0.027		32.951		411		Dallas
US-TX		ESTRADA		0.027		32.978		412		Austin
US-TX		SANDOVAL		0.027		33.005		413		Austin
US-TX		GIBBS		0.027		33.032		414		Austin
US-TX		TYLER		0.027		33.059		415		Houston
US-TX		GROSS		0.027		33.086		416		Dallas
US-TX		FITZGERALD		0.027		33.113		417		Austin
US-TX		STOKES		0.027		33.14		418		Houston
US-TX		DOYLE		0.027		33.167		419		Austin
US-TX		SHERMAN		0.027		33.193		420		Austin
US-TX		SAUNDERS		0.027		33.22		421		Austin
US-TX		WISE		0.027		33.247		422		Dallas
US-TX		COLON		0.027		33.274		423		Dallas
US-TX		GILL		0.027		33.3		424		Houston
US-TX		ALVARADO		0.027		33.327		425		Houston
US-TX		GREER		0.026		33.353		426		Dallas
US-TX		PADILLA		0.026		33.38		427		Houston
US-TX		SIMON		0.026		33.406		428		Houston
US-TX		WATERS		0.026		33.432		429		Austin
US-TX		NUNEZ		0.026		33.459		430		Houston
US-TX		BALLARD		0.026		33.485		431		Dallas
US-TX		SCHWARTZ		0.026		33.511		432		Houston
US-TX		MCBRIDE		0.026		33.536		433		Houston
US-TX		HOUSTON		0.026		33.562		434		Austin
US-TX		CHRISTENSEN		0.026		33.588		435		Dallas
US-TX		KLEIN		0.026		33.614		436		Dallas
US-TX		PRATT		0.026		33.64		437		Dallas
US-TX		BRIGGS		0.026		33.666		438		Austin
US-TX		PARSONS		0.026		33.692		439		Austin
US-TX		MCLAUGHLIN		0.026		33.717		440		Dallas
US-TX		ZIMMERMAN		0.026		33.743		441		Dallas
US-TX		FRENCH		0.026		33.769		442		Houston
US-TX		BUCHANAN		0.026		33.794		443		Dallas
US-TX		MORAN		0.026		33.82		444		Dallas
US-TX		COPELAND		0.025		33.845		445		Houston
US-TX		ROY		0.025		33.871		446		Austin
US-TX		PITTMAN		0.025		33.896		447		Dallas
US-TX		BRADY		0.025		33.922		448		Dallas
US-TX		MCCORMICK		0.025		33.947		449		Dallas
US-TX		HOLLOWAY		0.025		33.972		450		Houston
US-TX		BROCK		0.025		33.998		451		Houston
US-TX		POOLE		0.025		34.023		452		Houston
US-TX		FRANK		0.025		34.048		453		Dallas
US-TX		LOGAN		0.025		34.073		454		Dallas
US-TX		OWEN		0.025		34.098		455		Dallas
US-TX		BASS		0.025		34.122		456		Houston
US-TX		MARSH		0.025		34.147		457		Houston
US-TX		DRAKE		0.025		34.172		458		Austin
US-TX		WONG		0.025		34.197		459		Houston
US-TX		JEFFERSON		0.025		34.221		460		Dallas
US-TX		PARK		0.025		34.246		461		Dallas
US-TX		MORTON		0.025		34.271		462		Dallas
US-TX		ABBOTT		0.025		34.295		463		Houston
US-TX		SPARKS		0.025		34.32		464		Houston
US-TX		PATRICK		0.024		34.344		465		Houston
US-TX		NORTON		0.024		34.369		466		Dallas
US-TX		HUFF		0.024		34.393		467		Houston
US-TX		CLAYTON		0.024		34.417		468		Houston
US-TX		MASSEY		0.024		34.442		469		Austin
US-TX		LLOYD		0.024		34.466		470		Dallas
US-TX		FIGUEROA		0.024		34.49		471		Houston
US-TX		CARSON		0.024		34.514		472		Houston
US-TX		BOWERS		0.024		34.538		473		Austin
US-TX		ROBERSON		0.024		34.563		474		Dallas
US-TX		BARTON		0.024		34.587		475		Dallas
US-TX		TRAN		0.024		34.611		476		Dallas
US-TX		LAMB		0.024		34.635		477		Dallas
US-TX		HARRINGTON		0.024		34.659		478		Austin
US-TX		CASEY		0.024		34.683		479		Houston
US-TX		BOONE		0.024		34.706		480		Austin
US-TX		CORTEZ		0.024		34.73		481		Houston
US-TX		CLARKE		0.024		34.754		482		Austin
US-TX		MATHIS		0.024		34.778		483		Dallas
US-TX		SINGLETON		0.024		34.801		484		Houston
US-TX		WILKINS		0.024		34.825		485		Austin
US-TX		CAIN		0.024		34.849		486		Houston
US-TX		BRYAN		0.024		34.872		487		Austin
US-TX		UNDERWOOD		0.024		34.896		488		Austin
US-TX		HOGAN		0.024		34.92		489		Austin
US-TX		MCKENZIE		0.023		34.943		490		Austin
US-TX		COLLIER		0.023		34.966		491		Houston
US-TX		LUNA		0.023		34.99		492		Austin
US-TX		PHELPS		0.023		35.013		493		Dallas
US-TX		MCGUIRE		0.023		35.036		494		Austin
US-TX		ALLISON		0.023		35.059		495		Dallas
US-TX		BRIDGES		0.023		35.083		496		Austin
US-TX		WILKERSON		0.023		35.106		497		Austin
US-TX		NASH		0.023		35.129		498		Houston
US-TX		SUMMERS		0.023		35.152		499		Dallas
US-TX		ATKINS		0.023		35.175		500		Austin
US-TX		WILCOX		0.023		35.198		501		Dallas
US-TX		PITTS		0.023		35.221		502		Dallas
US-TX		CONLEY		0.023		35.244		503		Austin
US-TX		MARQUEZ		0.023		35.267		504		Dallas
US-TX		BURNETT		0.023		35.29		505		Austin
US-TX		RICHARD		0.023		35.313		506		Austin
US-TX		COCHRAN		0.023		35.335		507		Houston
US-TX		CHASE		0.023		35.358		508		Houston
US-TX		DAVENPORT		0.023		35.381		509		Houston
US-TX		HOOD		0.023		35.404		510		Dallas
US-TX		GATES		0.023		35.427		511		Houston
US-TX		CLAY		0.023		35.449		512		Dallas
US-TX		AYALA		0.023		35.472		513		Houston
US-TX		SAWYER		0.023		35.495		514		Austin
US-TX		ROMAN		0.023		35.517		515		Austin
US-TX		VAZQUEZ		0.023		35.54		516		Austin
US-TX		DICKERSON		0.023		35.562		517		Dallas
US-TX		HODGE		0.022		35.585		518		Houston
US-TX		ACOSTA		0.022		35.607		519		Austin
US-TX		FLYNN		0.022		35.63		520		Houston
US-TX		ESPINOZA		0.022		35.652		521		Austin
US-TX		NICHOLSON		0.022		35.675		522		Houston
US-TX		MONROE		0.022		35.697		523		Dallas
US-TX		WOLF		0.022		35.719		524		Dallas
US-TX		MORROW		0.022		35.741		525		Austin
US-TX		KIRK		0.022		35.763		526		Dallas
US-TX		RANDALL		0.022		35.785		527		Houston
US-TX		ANTHONY		0.022		35.807		528		Dallas
US-TX		WHITAKER		0.022		35.829		529		Austin
US-TX		OCONNOR		0.022		35.851		530		Houston
US-TX		SKINNER		0.022		35.873		531		Dallas
US-TX		WARE		0.022		35.895		532		Austin
US-TX		MOLINA		0.022		35.916		533		Dallas
US-TX		KIRBY		0.022		35.938		534		Houston
US-TX		HUFFMAN		0.022		35.96		535		Austin
US-TX		BRADFORD		0.022		35.982		536		Austin
US-TX		CHARLES		0.022		36.003		537		Dallas
US-TX		GILMORE		0.022		36.025		538		Austin
US-TX		DOMINGUEZ		0.022		36.046		539		Houston
US-TX		ONEAL		0.022		36.068		540		Austin
US-TX		BRUCE		0.022		36.09		541		Dallas
US-TX		LANG		0.021		36.111		542		Houston
US-TX		COMBS		0.021		36.132		543		Austin
US-TX		KRAMER		0.021		36.154		544		Houston
US-TX		HEATH		0.021		36.175		545		Houston
US-TX		HANCOCK		0.021		36.196		546		Austin
US-TX		GALLAGHER		0.021		36.218		547		Houston
US-TX		GAINES		0.021		36.239		548		Dallas
US-TX		SHAFFER		0.021		36.26		549		Austin
US-TX		SHORT		0.021		36.281		550		Houston
US-TX		WIGGINS		0.021		36.302		551		Austin
